eventID,Agency,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude,magnitudeType
1,1,1005,1,1,0,0,0.0,0.0,11.882,43.464,43.464,43.464,43.464,10.0,10.0,4.86,4.86,4.86
2,2,1005,1,1,0,0,0.0,0.0,13.831,41.488,41.488,41.488,41.488,10.0,10.0,5.1,5.1,5.1
3,3,1019,4,1,0,0,0.0,0.0,14.778,41.131,41.131,41.131,41.131,10.0,10.0,4.63,4.63,4.63
4,4,1044,4,19,9,0,0.0,0.0,14.778,41.131,41.131,41.131,41.131,10.0,10.0,4.63,4.63,4.63
5,5,1046,11,9,0,0,0.0,0.0,,,,,,10.0,10.0,,,
6,6,1065,3,27,16,45,0.0,0.0,,,,,,10.0,10.0,,,
7,7,1065,3,27,0,0,0.0,0.0,10.22,45.539,45.539,45.539,45.539,10.0,10.0,5.1,5.1,5.1
8,8,1087,9,10,0,0,0.0,0.0,16.869,41.129,41.129,41.129,41.129,10.0,10.0,4.86,4.86,4.86
9,9,1091,1,27,0,0,0.0,0.0,12.477,41.899,41.899,41.899,41.899,10.0,10.0,5.1,5.1,5.1
10,10,1094,1,14,0,0,0.0,0.0,14.778,41.131,41.131,41.131,41.131,10.0,10.0,4.63,4.63,4.63
11,11,1117,1,3,15,15,0.0,0.0,11.015,45.267,45.267,45.267,45.267,10.0,10.0,6.52,6.52,6.52
12,12,1117,1,3,15,15,0.0,0.0,,,,,,10.0,10.0,,,
13,13,1120,3,25,0,0,0.0,0.0,13.917,41.377,41.377,41.377,41.377,10.0,10.0,5.8,5.8,5.8
14,14,1125,6,7,11,0,0.0,0.0,15.286,37.073,37.073,37.073,37.073,10.0,10.0,5.8,5.8,5.8
15,15,1125,10,11,0,0,0.0,0.0,14.778,41.131,41.131,41.131,41.131,10.0,10.0,5.33,5.33,5.33
16,16,1139,1,22,0,0,0.0,0.0,14.778,41.131,41.131,41.131,41.131,10.0,10.0,4.4,4.4,4.4
17,17,1148,1,1,0,0,0.0,0.0,11.257,43.773,43.773,43.773,43.773,10.0,10.0,5.1,5.1,5.1
18,18,1160,10,15,0,0,0.0,0.0,13.095,41.925,41.925,41.925,41.925,10.0,10.0,5.33,5.33,5.33
19,19,1161,1,16,6,0,0.0,0.0,13.334,41.568,41.568,41.568,41.568,10.0,10.0,5.1,5.1,5.1
20,20,1168,1,10,0,0,0.0,0.0,10.402,43.718,43.718,43.718,43.718,10.0,10.0,4.4,4.4,4.4
21,21,1169,2,4,7,0,0.0,0.0,14.949,37.215,37.215,37.215,37.215,10.0,10.0,6.5,6.5,6.5
22,22,1170,5,9,0,0,0.0,0.0,13.334,41.568,41.568,41.568,41.568,10.0,10.0,5.56,5.56,5.56
23,23,1172,9,26,13,40,0.0,0.0,15.555,38.185,38.185,38.185,38.185,10.0,10.0,5.56,5.56,5.56
24,24,1174,8,17,18,0,0.0,0.0,11.343,44.494,44.494,44.494,44.494,10.0,10.0,3.93,3.93,3.93
25,25,1182,8,15,0,0,0.0,0.0,8.898,44.419,44.419,44.419,44.419,10.0,10.0,4.63,4.63,4.63
26,26,1183,12,1,0,0,0.0,0.0,10.994,45.439,45.439,45.439,45.439,10.0,10.0,4.86,4.86,4.86
27,27,1184,5,24,0,0,0.0,0.0,16.193,39.395,39.395,39.395,39.395,10.0,10.0,6.75,6.75,6.75
28,28,1194,1,1,0,0,0.0,0.0,12.078,44.067,44.067,44.067,44.067,10.0,10.0,4.86,4.86,4.86
29,29,1196,1,1,0,0,0.0,0.0,10.915,43.933,43.933,43.933,43.933,10.0,10.0,4.63,4.63,4.63
30,30,1198,1,1,0,0,0.0,0.0,14.123,40.822,40.822,40.822,40.822,10.0,10.0,3.37,3.37,3.37
31,31,1201,5,4,0,0,0.0,0.0,13.671,46.831,46.831,46.831,46.831,10.0,10.0,4.86,4.86,4.86
32,32,1209,1,1,0,0,0.0,0.0,,,,,,10.0,10.0,,,
33,33,1217,1,8,0,0,0.0,0.0,8.898,44.419,44.419,44.419,44.419,10.0,10.0,4.4,4.4,4.4
34,34,1222,12,25,12,30,0.0,0.0,10.623,45.533,45.533,45.533,45.533,10.0,10.0,5.68,5.68,5.68
35,35,1230,4,5,0,0,0.0,0.0,15.647,38.108,38.108,38.108,38.108,10.0,10.0,4.4,4.4,4.4
36,36,1231,6,1,11,0,0.0,0.0,13.831,41.488,41.488,41.488,41.488,10.0,10.0,5.1,5.1,5.1
37,37,1234,3,20,0,0,0.0,0.0,11.62,44.835,44.835,44.835,44.835,10.0,10.0,5.1,5.1,5.1
38,38,1242,10,24,0,0,0.0,0.0,11.546,45.548,45.548,45.548,45.548,10.0,10.0,4.4,4.4,4.4
39,39,1246,1,1,0,0,0.0,0.0,12.737,42.736,42.736,42.736,42.736,10.0,10.0,5.33,5.33,5.33
40,40,1249,9,1,0,0,0.0,0.0,10.926,44.647,44.647,44.647,44.647,10.0,10.0,4.86,4.86,4.86
41,41,1255,11,17,10,0,0.0,0.0,15.555,38.185,38.185,38.185,38.185,10.0,10.0,4.86,4.86,4.86
42,42,1258,2,19,16,30,0.0,0.0,,,,,,10.0,10.0,,,
43,43,1269,9,1,0,0,0.0,0.0,13.567,43.566,43.566,43.566,43.566,10.0,10.0,5.56,5.56,5.56
44,44,1269,1,1,0,0,0.0,0.0,,,,,,10.0,10.0,,,
45,45,1273,12,18,0,0,0.0,0.0,15.802,40.638,40.638,40.638,40.638,10.0,10.0,5.8,5.8,5.8
46,46,1275,11,2,0,0,0.0,0.0,13.942,40.743,40.743,40.743,40.743,10.0,10.0,4.01,4.01,4.01
47,47,1276,5,22,0,0,0.0,0.0,12.091,42.721,42.721,42.721,42.721,10.0,10.0,5.56,5.56,5.56
48,48,1276,7,29,18,30,0.0,0.0,8.482,44.627,44.627,44.627,44.627,10.0,10.0,4.81,4.81,4.81
49,49,1277,1,1,0,0,0.0,0.0,12.737,42.736,42.736,42.736,42.736,10.0,10.0,5.56,5.56,5.56
50,50,1279,4,30,18,0,0.0,0.0,12.872,43.093,43.093,43.093,43.093,10.0,10.0,6.2,6.2,6.2
51,51,1279,4,30,0,0,0.0,0.0,11.919,44.13,44.13,44.13,44.13,10.0,10.0,5.52,5.52,5.52
52,52,1280,1,25,0,0,0.0,0.0,10.683,44.814,44.814,44.814,44.814,10.0,10.0,4.4,4.4,4.4
53,53,1280,1,1,0,0,0.0,0.0,,,,,,10.0,10.0,,,
54,54,1284,1,17,15,30,0.0,0.0,12.336,45.438,45.438,45.438,45.438,10.0,10.0,4.16,4.16,4.16
55,55,1285,12,13,0,0,0.0,0.0,11.62,44.835,44.835,44.835,44.835,10.0,10.0,5.1,5.1,5.1
56,56,1287,1,1,0,0,0.0,0.0,11.678,42.88,42.88,42.88,42.88,10.0,10.0,4.86,4.86,4.86
57,57,1293,3,1,0,0,0.0,0.0,10.915,43.933,43.933,43.933,43.933,10.0,10.0,5.56,5.56,5.56
58,58,1293,9,4,0,0,0.0,0.0,14.548,41.304,41.304,41.304,41.304,10.0,10.0,5.8,5.8,5.8
59,59,1294,1,1,0,0,0.0,0.0,,,,,,10.0,10.0,,,
60,60,1295,9,1,3,0,0.0,0.0,,,,,,10.0,10.0,,,
61,61,1295,9,3,0,0,0.0,0.0,9.54,46.78,46.78,46.78,46.78,10.0,10.0,6.2,6.2,6.2
62,62,1298,11,30,0,0,0.0,0.0,12.86,42.402,42.402,42.402,42.402,10.0,10.0,4.4,4.4,4.4
63,63,1298,12,1,0,0,0.0,0.0,12.902,42.575,42.575,42.575,42.575,10.0,10.0,6.26,6.26,6.26
64,64,1301,6,11,4,0,0.0,0.0,13.431,46.093,46.093,46.093,46.093,10.0,10.0,4.16,4.16,4.16
65,65,1303,8,1,0,0,0.0,0.0,,,,,,10.0,10.0,,,
66,66,1304,10,23,0,45,0.0,0.0,,,,,,10.0,10.0,,,
67,67,1304,12,18,2,0,0.0,0.0,8.954,45.352,45.352,45.352,45.352,10.0,10.0,4.4,4.4,4.4
68,68,1306,7,1,0,0,0.0,0.0,10.505,43.843,43.843,43.843,43.843,10.0,10.0,4.63,4.63,4.63
69,69,1308,1,25,17,15,0.0,0.0,12.568,44.059,44.059,44.059,44.059,10.0,10.0,5.33,5.33,5.33
70,70,1311,1,1,0,0,0.0,0.0,7.327,44.885,44.885,44.885,44.885,10.0,10.0,4.63,4.63,4.63
71,71,1312,10,14,11,15,0.0,0.0,8.954,45.352,45.352,45.352,45.352,10.0,10.0,4.16,4.16,4.16
72,72,1315,12,3,0,0,0.0,0.0,13.399,42.351,42.351,42.351,42.351,10.0,10.0,5.56,5.56,5.56
73,73,1320,12,16,0,0,0.0,0.0,11.332,43.318,43.318,43.318,43.318,10.0,10.0,5.1,5.1,5.1
74,74,1322,10,16,0,0,0.0,0.0,,,,,,10.0,10.0,,,
75,75,1322,1,1,0,0,0.0,0.0,10.402,43.718,43.718,43.718,43.718,10.0,10.0,4.4,4.4,4.4
76,76,1323,2,25,19,0,0.0,0.0,11.134,44.57,44.57,44.57,44.57,10.0,10.0,4.16,4.16,4.16
77,77,1323,6,30,0,0,0.0,0.0,,,,,,10.0,10.0,,,
78,78,1323,1,1,0,0,0.0,0.0,14.7,45.2,45.2,45.2,45.2,10.0,10.0,6.03,6.03,6.03
79,79,1325,5,21,0,0,0.0,0.0,11.257,43.773,43.773,43.773,43.773,10.0,10.0,4.4,4.4,4.4
80,80,1328,12,1,0,0,0.0,0.0,13.018,42.857,42.857,42.857,42.857,10.0,10.0,6.49,6.49,6.49
81,81,1329,6,28,22,0,0.0,0.0,15.0,37.75,37.75,37.75,37.75,10.0,10.0,4.03,4.03,4.03
82,82,1334,12,4,0,0,0.0,0.0,10.994,45.439,45.439,45.439,45.439,10.0,10.0,4.86,4.86,4.86
83,83,1339,11,16,14,10,0.0,0.0,11.62,44.835,44.835,44.835,44.835,10.0,10.0,4.63,4.63,4.63
84,84,1344,11,11,0,0,0.0,0.0,10.33,44.801,44.801,44.801,44.801,10.0,10.0,4.16,4.16,4.16
85,85,1345,1,31,0,0,0.0,0.0,10.564,44.81,44.81,44.81,44.81,10.0,10.0,4.4,4.4,4.4
86,86,1345,9,12,0,0,0.0,0.0,11.257,43.773,43.773,43.773,43.773,10.0,10.0,4.63,4.63,4.63
87,87,1345,12,22,0,0,0.0,0.0,11.257,43.773,43.773,43.773,43.773,10.0,10.0,4.63,4.63,4.63
88,88,1346,2,8,0,0,0.0,0.0,10.926,44.647,44.647,44.647,44.647,10.0,10.0,4.16,4.16,4.16
89,89,1348,1,25,0,0,0.0,0.0,13.581,46.504,46.504,46.504,46.504,10.0,10.0,6.63,6.63,6.63
90,90,1348,9,13,0,0,0.0,0.0,13.095,41.925,41.925,41.925,41.925,10.0,10.0,5.56,5.56,5.56
91,91,1349,1,22,18,0,0.0,0.0,14.228,41.592,41.592,41.592,41.592,10.0,10.0,4.4,4.4,4.4
92,92,1349,9,9,8,15,0.0,0.0,,,,,,10.0,10.0,,,
93,93,1349,9,9,0,0,0.0,0.0,13.118,42.27,42.27,42.27,42.27,10.0,10.0,6.27,6.27,6.27
94,94,1349,9,9,0,0,0.0,0.0,,,,,,10.0,10.0,,,
95,95,1349,9,9,0,0,0.0,0.0,13.942,41.554,41.554,41.554,41.554,10.0,10.0,6.8,6.8,6.8
96,96,1352,1,25,0,0,0.0,0.0,15.087,37.502,37.502,37.502,37.502,10.0,10.0,5.33,5.33,5.33
97,97,1352,12,25,0,0,0.0,0.0,12.127,43.469,43.469,43.469,43.469,10.0,10.0,6.31,6.31,6.31
