"CSZ_ID","CSZ_NAME","CSZ","Mc","Time","Id"
"A","Iceland","A-Iceland",4.1,2007,1
"A","Iceland","A-Iceland",4.1,1990,1
"A","Iceland","A-Iceland",4.5,1950,1
"A","Iceland","A-Iceland",5.7,1930,1
"A","Iceland","A-Iceland",5.9,1700,1
"B","Offshore Portugal","B-Offshore Portugal",4.1,2007,2
"B","Offshore Portugal","B-Offshore Portugal",4.1,1960,2
"B","Offshore Portugal","B-Offshore Portugal",6.5,1700,2
"C","Iberia","C-Iberia",4.1,2007,3
"C","Iberia","C-Iberia",4.1,1950,3
"C","Iberia","C-Iberia",4.9,1800,3
"C","Iberia","C-Iberia",6.1,1500,3
"C","Iberia","C-Iberia",6.5,1300,3
"D","Betic region","D-Betic region",4.1,2007,4
"D","Betic region","D-Betic region",4.1,1920,4
"D","Betic region","D-Betic region",4.9,1500,4
"D","Betic region","D-Betic region",5.5,1350,4
"D","Betic region","D-Betic region",6.5,1200,4
"E","France - Belgium","E-France - Belgium",3.7,2007,5
"E","France - Belgium","E-France - Belgium",3.7,1960,5
"E","France - Belgium","E-France - Belgium",4.1,1900,5
"E","France - Belgium","E-France - Belgium",4.5,1750,5
"E","France - Belgium","E-France - Belgium",5.1,1550,5
"E","France - Belgium","E-France - Belgium",5.7,1450,5
"F","British Isles","F-British Isles",3.7,2007,6
"F","British Isles","F-British Isles",3.7,1965,6
"F","British Isles","F-British Isles",4.1,1900,6
"F","British Isles","F-British Isles",4.5,1500,6
"G","Northern Europe","G-Northern Europe",3.7,2007,7
"G","Northern Europe","G-Northern Europe",3.7,1970,7
"G","Northern Europe","G-Northern Europe",4.1,1890,7
"G","Northern Europe","G-Northern Europe",4.7,1800,7
"G","Northern Europe","G-Northern Europe",5.5,1700,7
"H","Central Europe","H-Central Europe",3.7,2007,8
"H","Central Europe","H-Central Europe",3.7,1970,8
"H","Central Europe","H-Central Europe",4.1,1900,8
"H","Central Europe","H-Central Europe",4.3,1850,8
"H","Central Europe","H-Central Europe",4.9,1780,8
"H","Central Europe","H-Central Europe",5.3,1500,8
"I","Alps","I-Alps",3.7,2007,9
"I","Alps","I-Alps",3.7,1970,9
"I","Alps","I-Alps",4.1,1900,9
"I","Alps","I-Alps",4.5,1800,9
